"id_cliente","cliente","persona","direccion","ciudad","telefono","correo_electronico"
"32471225","HOTEL VILLA REAL-MEDELLIN","Persona Jurídica","CR 70 45 E 153","Medellín","4441298",
"800002017","EDIFICIO BOSQUES DE VIZCAYA","Persona Jurídica","Cl 10 30 A 71 IN 1","Medellín","2687775",
"800008630","UNIDAD RESIDENCIAL PLAZA DEL ACARI P.H","Persona Jurídica","CL 36 63 B 89","Medellín","2652775",
"800021132","CONJUNTO RESIDENCIAL POBLADO DE CHIPRE","Persona Jurídica","Cr 42 5 sur 46","Medellín","3108204621",
"900070749","EDIFICIO VERSALLES P.H.","Persona Juridica","CR 86 B 49 A 80","Medellin","3027105267","edversalles@hotmail.com"
"800031171","CONJUNTO MULTIFAMILIAR QUINTAS DEL PALMAR","Persona Jurídica","CL 36D SUR 27 80","Medellín","3360390","administracion@quintasdelpalmar.co"
"800033954","EDIFICIO CALLE ARRIBA PH","Persona Jurídica","MEDELLIN","Medellín","3172632",
"800043725","URBANIZACION MILAN CONDOMINIO No. 9 PH","Persona Jurídica","CL 44 SUR 47 18","Envigado","3317859","urbmilan9@gmail.com"
"800046300","CONJUNTO RESIDENCIAL AIRES DE VIGIA DEL FUERTE P. H.","Persona Jurídica","CL 18AA SUR 29C 311","Medellín","1234567","airesdevigiadelfuerte@gmail.com"
"800053714","CONJUNTO RESIDENCIAL MIRADOR DE SAN ANGEL P.H","Persona Jurídica","cl 18b sur 36 35","Medellín","3123379","tesoreria@admonyasesorias.com"
"800058986","CONJUNTO RESIDENCIAL PRADOS DEL TESORO PH","Persona Jurídica","CL 25 2 30","Medellín","2667077","admonlmpfacturas@hotmail.com"
"800059113","EDIFICIO EL GALEON P.H","Persona Jurídica","CR 25 9 A SUR 176","Medellín","4484173","tesoreria@caaph.co"
"800061826","EDIFICIO ALMONTE P.H.","Persona Jurídica","CL 12 SUR 25 127","Medellín","3002081298","comprascrismatt@gmail.com"
"800063302","EDIFICIO ""SOTOVERDE"" P.H.","Persona Jurídica","CR 36 B CL 11 51","Medellín","3215606","mga.admonph@gmail.com"
"800078783","EDIFICIO SAIGAMA PH","Persona Jurídica","CL 14SUR 43A 239","Medellín","3023121568","contabilidad@tmgservicios.com"
"800102496","URBANIZACION PARQUE LORENA P.H","Persona Jurídica","CL 10 SUR 43 A 54","Medellín","2680853","comprascrismatt@gmail.com"
"800113986","EDIFICIO CATAY 7 P.H","Persona Jurídica","CR 35 A 5 A 211","Medellín","3136082","tesoreria@caaph.co"
"800132447","CONJUNTO RESIDENCIAL MOMPOX P.H","Persona Jurídica","CL 12 SUR 25 237","Medellín","6037107","mompoxph@gmail.com"
"800134211","CENTRO COMERCIAL UNION PLAZA P.H.","Persona Jurídica","CR 50 CL 52 50","Medellín","5119749","info@unionplaza.com.co"
"800171185","PARCELACION ALTOS DE LA BONITA, 1-2-3 ETAPA","Persona Jurídica","VEREDA NECHI SECTOR LA BONITA","Medellín","2685588",
"800171747","UNIDAD MEDICA TORRE PLAZA P.H. EDIFICIO FORMACOL","Persona Jurídica","CL 4 S 43AA 30","Medellín","3117737",
